[    5.131348] grsec: mount of none to /proc by /sbin/init[init:1] uid/euid:0/0 gid/egid:0/0, parent /[swapper/0:0] uid/euid:0/0 gid/egid:0/0
[    5.131693] grsec: unmount of none by /sbin/init[init:1] uid/euid:0/0 gid/egid:0/0, parent /[swapper/0:0] uid/euid:0/0 gid/egid:0/0
[    5.313265] grsec: mount of tmpfs to /lib/init/rw by /bin/mount[mount:656] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:650] uid/euid:0/0 gid/egid:0/0
[    5.330568] grsec: mount of tmpfs to /run by /bin/mount[mount:660] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:650] uid/euid:0/0 gid/egid:0/0
[    5.371080] grsec: mount of proc to /proc by /bin/mount[mount:669] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:650] uid/euid:0/0 gid/egid:0/0
[    5.389005] grsec: mount of sysfs to /sys by /bin/mount[mount:674] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:650] uid/euid:0/0 gid/egid:0/0
[    5.426177] grsec: mount of tmpfs to /dev by /bin/mount[mount:682] uid/euid:0/0 gid/egid:0/0, parent /etc/init.d/udev[S03udev:675] uid/euid:0/0 gid/egid:0/0
[    6.755305] grsec: mount of tmpfs to /run/shm by /bin/mount[mount:1173] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:1166] uid/euid:0/0 gid/egid:0/0
[    6.791598] grsec: mount of devpts to /dev/pts by /bin/mount[mount:1185] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:1166] uid/euid:0/0 gid/egid:0/0
[    8.037967] grsec: time set by /sbin/hwclock[hwclock:1218] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:1217] uid/euid:0/0 gid/egid:0/0
[    8.099186] grsec: mount of /dev/sda1 to / by /bin/mount[mount:1238] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:1226] uid/euid:0/0 gid/egid:0/0
[    8.207075] grsec: mount of /dev/sda1 to / by /bin/mount[mount:1246] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:1226] uid/euid:0/0 gid/egid:0/0
[    9.261839] grsec: time set by /sbin/hwclock[hwclock:1254] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[sh:1253] uid/euid:0/0 gid/egid:0/0
[    9.431274] grsec: mount of tmpfs to /lib/init/rw by /bin/mount[mount:1306] uid/euid:0/0 gid/egid:0/0, parent /etc/init.d/mountkernfs.sh[mountkernfs.sh:1298] uid/euid:0/0 gid/egid:0/0
[    9.443328] grsec: mount of tmpfs to /run by /bin/mount[mount:1309] uid/euid:0/0 gid/egid:0/0, parent /etc/init.d/mountkernfs.sh[mountkernfs.sh:1298] uid/euid:0/0 gid/egid:0/0
[    9.461100] grsec: mount of proc to /proc by /bin/mount[mount:1314] uid/euid:0/0 gid/egid:0/0, parent /etc/init.d/mountkernfs.sh[mountkernfs.sh:1298] uid/euid:0/0 gid/egid:0/0
