version	->	version	patches-per-day	patches	num_days	month/year
3.10.98	->	3.10.99:	11.29	79	7	02/2016
3.10.97	->	3.10.98:	10.80	54	5	02/2016
3.10.96	->	3.10.97:	3.00	63	21	01/2016
3.10.95	->	3.10.96:	8.83	53	6	01/2016
3.10.94	->	3.10.95:	0.80	35	44	12/2015
3.10.93	->	3.10.94:	1.03	31	30	11/2015
3.10.92	->	3.10.93:	1.77	23	13	10/2015
3.10.91	->	3.10.92:	4.25	17	4	10/2015
3.10.90	->	3.10.91:	2.57	54	21	10/2015
3.10.89	->	3.10.90:	5.40	54	10	09/2015
3.10.88	->	3.10.89:	2.62	21	8	09/2015
3.10.87	->	3.10.88:	0.41	11	27	08/2015
3.10.86	->	3.10.87:	5.83	35	6	08/2015
3.10.85	->	3.10.86:	3.71	26	7	08/2015
3.10.84	->	3.10.85:	3.87	89	23	07/2015
3.10.83	->	3.10.84:	2.33	14	6	07/2015
3.10.82	->	3.10.83:	5.50	22	4	06/2015
3.10.81	->	3.10.82:	0.83	5	6	06/2015
3.10.80	->	3.10.81:	1.81	29	16	06/2015
3.10.79	->	3.10.80:	2.37	45	19	05/2015
3.10.78	->	3.10.79:	4.25	17	4	05/2015
3.10.77	->	3.10.78:	3.17	19	6	05/2015
3.10.76	->	3.10.77:	9.14	64	7	04/2015
3.10.75	->	3.10.76:	3.30	33	10	04/2015
3.10.74	->	3.10.75:	6.80	34	5	04/2015
3.10.73	->	3.10.74:	1.35	23	17	03/2015
3.10.72	->	3.10.73:	6.88	55	8	03/2015
3.10.71	->	3.10.72:	5.64	62	11	03/2015
3.10.70	->	3.10.71:	8.00	56	7	02/2015
3.10.69	->	3.10.70:	1.07	16	15	02/2015
3.10.68	->	3.10.69:	3.60	18	5	02/2015
3.10.67	->	3.10.68:	7.29	51	7	01/2015
3.10.66	->	3.10.67:	15.50	31	2	01/2015
3.10.65	->	3.10.66:	4.55	50	11	01/2015
3.10.64	->	3.10.65:	6.29	44	7	01/2015
3.10.63	->	3.10.64:	1.65	38	23	12/2014
3.10.62	->	3.10.63:	2.67	24	9	12/2014
3.10.61	->	3.10.62:	3.00	45	15	11/2014
3.10.60	->	3.10.61:	10.00	70	7	11/2014
3.10.59	->	3.10.60:	8.79	123	14	10/2014
3.10.58	->	3.10.59:	2.87	43	15	10/2014
3.10.57	->	3.10.58:	3.20	16	5	10/2014
3.10.56	->	3.10.57:	4.33	13	3	10/2014
3.10.55	->	3.10.56:	7.94	143	18	09/2014
3.10.54	->	3.10.55:	6.64	73	11	09/2014
3.10.53	->	3.10.54:	2.50	55	22	08/2014
3.10.52	->	3.10.53:	4.00	24	6	08/2014
3.10.51	->	3.10.52:	4.50	27	6	07/2014
3.10.50	->	3.10.51:	7.00	21	3	07/2014
3.10.49	->	3.10.50:	5.60	56	10	07/2014
3.10.48	->	3.10.49:	4.75	38	8	07/2014
3.10.47	->	3.10.48:	27.50	55	2	07/2014
3.10.46	->	3.10.47:	9.00	45	5	06/2014
3.10.45	->	3.10.46:	19.50	78	4	06/2014
3.10.44	->	3.10.45:	5.20	52	10	06/2014
3.10.43	->	3.10.44:	3.60	18	5	06/2014
3.10.42	->	3.10.43:	13.33	40	3	06/2014
3.10.41	->	3.10.42:	15.43	108	7	05/2014
3.10.40	->	3.10.41:	5.06	86	17	05/2014
3.10.39	->	3.10.40:	7.00	49	7	05/2014
3.10.38	->	3.10.39:	9.56	86	9	04/2014
3.10.37	->	3.10.38:	1.92	23	12	04/2014
3.10.36	->	3.10.37:	4.10	41	10	04/2014
3.10.35	->	3.10.36:	3.00	9	3	03/2014
3.10.34	->	3.10.35:	3.14	22	7	03/2014
3.10.33	->	3.10.34:	5.38	86	16	03/2014
3.10.32	->	3.10.33:	8.17	98	12	02/2014
3.10.31	->	3.10.32:	32.00	64	2	02/2014
3.10.30	->	3.10.31:	4.17	25	6	02/2014
3.10.29	->	3.10.30:	11.29	79	7	02/2014
3.10.28	->	3.10.29:	8.58	103	12	01/2014
3.10.27	->	3.10.28:	2.56	23	9	01/2014
3.10.26	->	3.10.27:	10.33	62	6	01/2014
3.10.25	->	3.10.26:	6.60	132	20	12/2013
3.10.24	->	3.10.25:	9.88	79	8	12/2013
3.10.23	->	3.10.24:	17.67	53	3	12/2013
3.10.22	->	3.10.23:	19.33	58	3	12/2013
3.10.21	->	3.10.22:	43.25	173	4	11/2013
3.10.20	->	3.10.21:	10.00	80	8	11/2013
3.10.19	->	3.10.20:	3.43	24	7	11/2013
3.10.18	->	3.10.19:	8.22	74	9	11/2013
3.10.17	->	3.10.18:	3.38	54	16	10/2013
3.10.16	->	3.10.17:	17.25	69	4	10/2013
3.10.15	->	3.10.16:	13.62	109	8	10/2013
3.10.14	->	3.10.15:	17.33	52	3	10/2013
3.10.13	->	3.10.14:	12.25	49	4	09/2013
3.10.12	->	3.10.13:	9.17	110	12	09/2013
3.10.11	->	3.10.12:	7.67	46	6	09/2013
3.10.10	->	3.10.11:	4.00	36	9	08/2013
3.10.9	->	3.10.10:	9.25	74	8	08/2013
3.10.8	->	3.10.9:	1.00	1	1	08/2013
3.10.7	->	3.10.8:	9.00	45	5	08/2013
3.10.6	->	3.10.7:	20.00	60	3	08/2013
3.10.5	->	3.10.6:	14.71	103	7	08/2013
3.10.4	->	3.10.5:	14.14	99	7	07/2013
3.10.3	->	3.10.4:	26.33	79	3	07/2013
3.10.2	->	3.10.3:	33.67	101	3	07/2013
3.10.1	->	3.10.2:	9.00	72	8	07/2013
3.10	->	3.10.1:	1.58	19	12	06/2013
3.11.9	->	3.11.10:	4.50	36	8	11/2013
3.11.8	->	3.11.9:	3.57	25	7	11/2013
3.11.7	->	3.11.8:	10.44	94	9	11/2013
3.11.6	->	3.11.7:	4.12	66	16	10/2013
3.11.5	->	3.11.6:	12.50	50	4	10/2013
3.11.4	->	3.11.5:	16.88	135	8	10/2013
3.11.3	->	3.11.4:	19.00	57	3	10/2013
3.11.2	->	3.11.3:	17.75	71	4	09/2013
3.11.1	->	3.11.2:	9.75	117	12	09/2013
3.11	->	3.11.1:	1.45	16	11	09/2013
3.12.71	->	3.12.72:	7.50	60	8	03/2017
3.12.70	->	3.12.71:	3.05	113	37	01/2017
3.12.69	->	3.12.70:	5.30	233	44	12/2016
3.12.68	->	3.12.69:	2.71	38	14	11/2016
3.12.67	->	3.12.68:	6.30	126	20	11/2016
3.12.66	->	3.12.67:	3.84	73	19	10/2016
3.12.65	->	3.12.66:	1.67	5	3	10/2016
3.12.64	->	3.12.65:	4.94	84	17	09/2016
3.12.63	->	3.12.64:	2.98	119	40	08/2016
3.12.62	->	3.12.63:	3.45	100	29	07/2016
3.12.61	->	3.12.62:	2.49	87	35	06/2016
3.12.60	->	3.12.61:	2.04	55	27	05/2016
3.12.59	->	3.12.60:	2.92	76	26	04/2016
3.12.58	->	3.12.59:	7.18	79	11	04/2016
3.12.57	->	3.12.58:	3.88	101	26	03/2016
3.12.56	->	3.12.57:	4.83	58	12	03/2016
3.12.55	->	3.12.56:	16.57	116	7	02/2016
3.12.54	->	3.12.55:	10.85	141	13	02/2016
3.12.53	->	3.12.54:	4.27	64	15	01/2016
3.12.52	->	3.12.53:	1.81	38	21	01/2016
3.12.51	->	3.12.52:	2.12	91	43	11/2015
3.12.50	->	3.12.51:	2.88	72	25	10/2015
3.12.49	->	3.12.50:	5.59	123	22	10/2015
3.12.48	->	3.12.49:	4.94	84	17	09/2015
3.12.47	->	3.12.48:	1.35	31	23	08/2015
3.12.46	->	3.12.47:	3.86	81	21	08/2015
3.12.45	->	3.12.46:	24.40	122	5	07/2015
3.12.44	->	3.12.45:	2.49	122	49	06/2015
